Date,TeamA,TeamB,ScoreA,ScoreB
2016-09-09,IRL,POL,1,2
2016-09-09,IRL,ZAF,2,0
2016-09-10,BCS,POL,2,0
2016-09-10,DEU,IRL,2,0
2016-09-11,BCS,ZAF,2,0
2016-09-11,DEU,BCS,2,1
2016-09-11,POL,ZAF,2,0
2016-09-11,DEU,POL,2,0
2016-09-11,BCS,IRL,2,0
2016-09-11,DEU,ZAF,2,1
2016-09-10,FIN,HUN,2,0
2016-09-10,FIN,ISL,2,0
2016-09-10,HUN,ISL,0,2
2016-09-10,ISL,GBR,2,1
2016-09-11,HUN,GBR,0,2
2016-09-11,FIN,GRC,2,0
2016-09-11,FIN,GBR,2,0
2016-09-11,GRC,HUN,0,2
2016-09-11,GRC,GBR,2,0
2016-09-12,GRC,ISL,0,2
2016-09-09,HRV,NOR,0,2
2016-09-09,NOR,PRT,2,0
2016-09-10,FRA,HRV,2,0
2016-09-10,FRA,UKR,2,0
2016-09-10,NOR,UKR,2,0
2016-09-11,FRA,PRT,2,0
2016-09-11,FRA,NOR,2,1
2016-09-11,PRT,UKR,2,0
2016-09-11,HRV,UKR,2,0
2016-09-11,HRV,PRT,2,0
2016-09-10,SVK,TUR,0,2
2016-09-10,ROU,TUR,0,2
2016-09-10,SWE,SVK,2,0
2016-09-10,SWE,TUR,2,0
2016-09-10,ROU,SVK,2,0
2016-09-10,DNK,ROU,2,0
2016-09-10,SWE,DNK,2,0
2016-09-10,SWE,ROU,2,0
2016-09-10,DNK,SVK,2,0
2016-09-10,DNK,TUR,0,2
2016-09-10,ITA,BGR,2,0
2016-09-10,RUS,CHE,2,0
2016-09-10,BGR,RUS,0,2
2016-09-10,ITA,CHE,2,0
2016-09-10,ISR,CHE,2,0
2016-09-10,ISR,ITA,0,2
2016-09-10,ISR,RUS,0,2
2016-09-10,ITA,RUS,0,2
2016-09-10,BGR,ISR,1,2
2016-09-10,BGR,CHE,2,0
2016-09-09,AUT,SRB,2,0
2016-09-09,AUT,CZE,0,2
2016-09-09,CZE,SRB,2,0
2016-09-10,AUT,BEN,0,2
2016-09-11,SRB,ESP,0,2
2016-09-11,BEN,ESP,1,2
2016-09-11,BEN,CZE,2,0
2016-09-11,AUT,ESP,0,2
2016-09-11,CZE,ESP,0,2
2016-09-11,BEN,SRB,2,0
2016-09-17,DEU,ISL,3,0
2016-09-14,FIN,BEN,3,0
2016-09-14,FRA,TUR,3,0
2016-09-18,SWE,ITA,3,0
2016-09-14,RUS,NOR,3,0
2016-09-14,ESP,BCS,3,0
2016-09-15,PER,ARG,0,2
2016-09-16,CHL,ARG,2,0
2016-09-17,PER,CHL,0,2
2016-09-15,COL,CRI,2,1
2016-09-16,CRI,MEX,0,2
2016-09-17,COL,MEX,2,1
2016-09-18,CHL,COL,3,0
2016-09-12,IDN,TWN,0,2
2016-09-15,TWN,VNM,3,2
2016-09-16,IDN,VNM,0,2
2016-09-13,JPN,HKG,2,0
2016-09-15,JPN,THA,0,2
2016-09-18,HKG,THA,0,2
2016-09-14,PHL,SGP,0,2
2016-09-15,PHL,MYS,0,2
2016-09-16,SGP,MYS,2,0
2016-10-29,Spain,Canada,2,1
2016-10-29,Sweden,Brazil,2,0
2016-10-30,Sweden,Canada,2,0
2016-10-30,Spain,Brazil,2,0
2016-10-31,Sweden,Spain,1,2
2016-10-31,Canada,Brazil,2,0
2016-10-29,United States,Chile,2,0
2016-10-29,Russia,Germany,2,0
2016-10-30,United States,Germany,2,0
2016-10-30,Russia,Chile,2,0
2016-10-31,United States,Russia,1,2
2016-10-31,Germany,Chile,2,0
2016-10-29,South Korea,Australia,2,0
2016-10-29,Finland,Taiwan,2,1
2016-10-30,South Korea,Taiwan,2,0
2016-10-30,Finland,Australia,2,0
2016-10-31,South Korea,Finland,2,0
2016-10-31,Taiwan,Australia,0,2
2016-10-29,China,Thailand,2,1
2016-10-29,France,Singapore,2,0
2016-10-30,China,Singapore,2,0
2016-10-30,France,Thailand,1,2
2016-10-31,China,France,1,2
2016-10-31,Singapore,Thailand,0,2
2016-11-04,Russia,France,2,1
2016-11-04,Spain,Finland,1,2
2016-11-04,South Korea,United States,2,0
2016-11-04,China,Sweden,0,2
2016-11-05,Russia,Finland,2,0
2016-11-05,South Korea,Sweden,2,0
2016-11-06,Russia,South Korea,0,4
2016-11-06,Finland,Sweden,1,2
2016-11-01,China,Thailand,1,0
2016-11-01,China,France,1,0
2016-11-01,Thailand,France,0,1
